                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1431,                 8.9755,                 3.7987,                0.00069,                0.81776,                0.00077,                0.00028,                 2.5403,                 12.163,                 3.1153,             0.00066365,             0.00066365,             0.00066365
                      2,                 2.7722,                 5.0391,                 3.0957,                0.00074,                0.90187,                0.00666,                0.00222,                 2.3802,                 13.873,                 2.8003,              0.0012645,              0.0012645,              0.0012645
                      3,                 2.7206,                 4.3579,                 2.9383,                 0.0022,                0.58411,                  0.004,                0.00138,                 2.4836,                 4.9157,                 2.9512,              0.0017993,              0.0017993,              0.0017993
                      4,                 2.6074,                  4.035,                  2.843,                0.00135,                0.80374,                0.00503,                0.00153,                 2.5971,                 5.2102,                 3.0274,               0.001703,               0.001703,               0.001703
                      5,                 2.5544,                 3.9611,                 2.7817,                0.00355,                0.56542,                0.00559,                0.00226,                 2.1714,                  4.519,                 2.5737,               0.001703,               0.001703,               0.001703
                      6,                 2.3492,                 3.5102,                 2.6717,                0.00196,                0.95327,                0.25026,                0.10201,                 2.0523,                 4.5118,                 2.4312,               0.001604,               0.001604,               0.001604
                      7,                 2.1752,                 3.2702,                 2.5034,                 0.0075,                 0.8972,                0.29273,                0.13655,                 1.9724,                 3.4161,                 2.4172,               0.001505,               0.001505,               0.001505
                      8,                 2.0681,                 2.9316,                 2.4246,                0.72405,                0.25234,                0.30234,                0.12012,                 2.0687,                 3.4674,                 2.6186,               0.001406,               0.001406,               0.001406
                      9,                 2.0187,                 2.7697,                 2.3486,                0.70552,                0.41121,                0.45025,                0.24822,                 1.7836,                 2.9619,                 2.1571,               0.001307,               0.001307,               0.001307
                     10,                  1.961,                  2.627,                 2.2904,                0.72395,                0.40654,                0.46322,                0.23296,                 1.9224,                 4.3966,                 2.2403,               0.001208,               0.001208,               0.001208
                     11,                 1.7333,                 2.3714,                 2.1458,                0.79921,                0.43925,                0.54663,                0.31044,                 1.7158,                  2.212,                  1.985,               0.001109,               0.001109,               0.001109
                     12,                 1.6366,                 2.1534,                 2.0563,                0.84097,                0.41121,                0.53595,                0.30583,                 1.7216,                  2.352,                 2.0498,                0.00101,                0.00101,                0.00101
                     13,                 1.6387,                 2.1073,                  2.046,                0.92986,                0.43366,                0.58058,                0.32241,                 1.6478,                 2.0501,                 1.9425,               0.000911,               0.000911,               0.000911
                     14,                 1.5873,                  1.981,                 1.9622,                0.86082,                0.52804,                0.63449,                0.36972,                   1.62,                 2.0647,                 1.9116,               0.000812,               0.000812,               0.000812
                     15,                   1.56,                 1.8877,                 1.9234,                0.88789,                0.55512,                0.66995,                0.41377,                 1.5761,                 1.7316,                 1.8812,               0.000713,               0.000713,               0.000713
                     16,                 1.5267,                 1.7332,                 1.9198,                0.83938,                0.62617,                0.67134,                0.40486,                 1.5534,                 1.9187,                 1.8562,               0.000614,               0.000614,               0.000614
                     17,                 1.4744,                 1.6004,                  1.851,                0.81155,                0.59813,                0.67614,                0.41744,                 1.4269,                 2.1175,                 1.7546,               0.000515,               0.000515,               0.000515
                     18,                 1.4322,                 1.5107,                  1.804,                0.91903,                0.61682,                0.75782,                 0.4757,                 1.4569,                 1.6933,                 1.7475,               0.000416,               0.000416,               0.000416
                     19,                 1.3944,                 1.4937,                 1.7829,                0.94652,                0.59813,                0.76287,                0.47948,                 1.4564,                 1.4982,                 1.7467,               0.000317,               0.000317,               0.000317
                     20,                 1.3593,                 1.3898,                 1.7538,                0.91983,                0.64339,                0.78039,                0.50817,                 1.3357,                 1.3289,                 1.6655,               0.000218,               0.000218,               0.000218
