                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1177,                 5.1655,                  3.674,                0.00754,                0.16755,                0.00702,                0.00169,                 2.5465,                 5.9648,                 3.3492,             0.00055423,             0.00055423,             0.00055423
                      2,                 2.4359,                 3.6349,                 2.8148,                0.57548,                0.08179,                 0.0413,                0.01238,                 2.2514,                 3.9851,                 2.6524,              0.0010659,              0.0010659,              0.0010659
                      3,                 2.1511,                 3.3211,                  2.589,                0.58096,                0.10422,                0.05403,                0.01918,                 2.0602,                 3.8043,                 2.5366,              0.0015337,              0.0015337,              0.0015337
                      4,                 1.9992,                 3.1498,                 2.4541,                0.01251,                0.25198,                  0.033,                0.01186,                   1.95,                 3.5563,                 2.3971,               0.001469,               0.001469,               0.001469
                      5,                 1.8346,                 3.0284,                 2.2929,                0.66466,                 0.1029,                0.10264,                0.04522,                 1.8691,                 3.1878,                 2.3516,              0.0014029,              0.0014029,              0.0014029
                      6,                  1.722,                 2.8399,                 2.1643,                0.19536,                0.29975,                0.17312,                0.08266,                 1.7141,                 4.0492,                 2.2108,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.6223,                 2.6647,                 2.0927,                0.39034,                 0.2429,                0.24803,                0.12688,                 1.6578,                 2.6292,                 2.1628,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.5526,                 2.4857,                 2.0142,                0.47843,                0.27223,                0.27943,                0.14651,                 1.6907,                 2.9682,                 2.1582,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.5038,                 2.3936,                 1.9781,                0.36554,                0.35076,                0.32698,                0.18604,                 1.5611,                 2.4635,                 2.1175,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.4669,                 2.3254,                 1.9415,                0.46374,                0.32883,                0.34543,                0.19065,                 1.5763,                 2.4619,                 2.1027,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.4135,                 2.2348,                 1.8898,                0.41959,                 0.3973,                0.39229,                0.22841,                 1.5447,                 2.2545,                 2.0554,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.3783,                 2.1687,                 1.8639,                0.55419,                0.43009,                0.40986,                0.23875,                 1.5707,                 2.2481,                 2.0501,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.3487,                 2.1373,                 1.8507,                0.54885,                0.35301,                0.42537,                0.25151,                 1.4548,                 2.2774,                 1.9985,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.3181,                 2.0729,                 1.8198,                  0.544,                0.38682,                 0.4108,                0.23963,                 1.4658,                  2.298,                 2.0085,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.2954,                  2.015,                  1.787,                0.55646,                0.45526,                0.47721,                0.28745,                 1.3608,                  2.088,                 1.9271,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2939,                 1.9132,                  1.893,                0.61296,                0.42546,                0.49758,                0.33065,                 1.3524,                 1.9583,                 2.0384,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2248,                 1.8344,                  1.821,                0.62814,                0.49415,                0.53893,                0.36885,                 1.2716,                 1.8476,                 1.9471,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1902,                 1.7643,                  1.818,                0.67376,                0.51102,                0.56641,                0.38553,                 1.2295,                 1.8515,                 1.9018,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.1627,                 1.6864,                 1.7841,                0.63222,                0.54281,                0.59906,                0.41891,                 1.2038,                 1.7079,                 1.8628,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.1244,                 1.6078,                 1.7674,                0.71204,                0.54653,                0.61575,                 0.4361,                 1.1482,                 1.7001,                 1.8179,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.0712,                 1.6205,                 1.7153,                0.76227,                0.56564,                0.65228,                0.47684,                 1.1022,                 1.6041,                 1.8033,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0555,                  1.532,                 1.7183,                0.74488,                0.57728,                0.66066,                0.48494,                 1.0858,                 1.5819,                 1.7816,             0.00028072,             0.00028072,             0.00028072
                     23,                  1.025,                 1.4916,                 1.6907,                 0.7432,                0.58239,                0.66445,                 0.4927,                  1.053,                 1.5272,                 1.7338,             0.00021471,             0.00021471,             0.00021471
                     24,                0.99876,                 1.4408,                 1.6646,                0.76703,                0.59272,                0.67673,                0.50743,                 1.0467,                 1.4895,                 1.7335,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.0002,                 1.4304,                 1.6741,                0.75874,                0.60557,                0.68511,                0.51358,                 1.0348,                 1.5105,                 1.7169,             8.2683e-05,             8.2683e-05,             8.2683e-05
