                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2321,                 1.3701,                 1.2999,                0.71007,                0.61313,                0.65699,                0.43688,                 1.3076,                 1.1445,                 1.3466,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.2213,                 1.3413,                 1.3008,                0.73011,                0.62799,                0.66645,                0.44278,                  1.287,                 1.1337,                 1.3383,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.2326,                  1.361,                 1.2888,                 0.7012,                0.63686,                0.67476,                0.44115,                 1.2847,                 1.1148,                 1.3249,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.2222,                 1.3587,                 1.2981,                0.74598,                0.60655,                0.66891,                0.44216,                  1.271,                 1.1151,                 1.3189,               0.005545,               0.005545,               0.005545
                     38,                 1.2056,                 1.3283,                 1.2903,                0.70931,                0.64348,                0.68233,                0.44952,                 1.2757,                 1.0919,                 1.3244,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.2129,                  1.332,                 1.2891,                0.74329,                0.64764,                0.69311,                0.45485,                  1.276,                 1.0836,                 1.3164,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.2032,                 1.3321,                 1.2933,                0.68774,                0.66318,                0.67663,                0.45094,                 1.2614,                 1.0693,                 1.3127,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.1936,                 1.2875,                 1.2801,                0.72599,                0.62597,                0.67173,                0.45508,                  1.261,                 1.0736,                  1.315,                0.00505,                0.00505,                0.00505
                     42,                 1.1879,                 1.2961,                  1.283,                 0.7031,                0.65474,                0.68177,                 0.4561,                 1.2551,                  1.063,                 1.3055,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.1816,                 1.2744,                 1.2734,                0.74349,                0.65934,                0.69785,                0.46473,                 1.2434,                 1.0569,                 1.3034,              0.0048025,              0.0048025,              0.0048025
                     44,                  1.173,                 1.2666,                 1.2701,                0.74631,                0.65984,                  0.699,                0.46694,                 1.2479,                 1.0591,                 1.2987,              0.0046788,              0.0046788,              0.0046788
