                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3559,                 13.704,                 4.2704,                      0,                      0,                      0,                      0,                 6.6901,                 5.9692,                 4.1621,                  8e-05,                  8e-05,                  8e-05
                      2,                 6.3713,                 13.972,                 4.2294,                      0,                      0,                      0,                      0,                 6.6908,                 5.9724,                 4.1655,             0.00017555,             0.00017555,             0.00017555
                      3,                 6.3206,                 10.918,                 4.0564,                      0,                      0,                      0,                      0,                 6.6921,                 5.9704,                 4.1713,             0.00026614,             0.00026614,             0.00026614
                      4,                 5.8994,                 12.126,                 3.8598,                      0,                      0,                      0,                      0,                 6.6941,                 5.9679,                 4.1793,             0.00035179,             0.00035179,             0.00035179
                      5,                 5.0139,                 9.6173,                 3.6721,                      0,                      0,                      0,                      0,                 6.6998,                 5.9784,                 4.1986,             0.00043248,             0.00043248,             0.00043248
                      6,                 4.7487,                 7.7724,                 3.4532,                      0,                      0,                      0,                      0,                 6.7056,                 5.9808,                 4.2172,             0.00050822,             0.00050822,             0.00050822
                      7,                 3.7559,                 6.9642,                 3.1826,                      0,                      0,                      0,                      0,                 6.7163,                 5.9453,                 4.2507,             0.00057902,             0.00057902,             0.00057902
                      8,                  3.673,                   6.81,                 2.9532,                      0,                      0,                      0,                      0,                 6.7283,                 5.9269,                 4.2888,             0.00064486,             0.00064486,             0.00064486
                      9,                 3.0959,                 5.1576,                 2.8003,                      0,                      0,                      0,                      0,                 6.7579,                 5.9167,                 4.3882,             0.00070576,             0.00070576,             0.00070576
                     10,                 3.4758,                 5.6854,                 2.6597,                      0,                      0,                      0,                      0,                 6.7838,                 5.9087,                 4.4835,             0.00076171,             0.00076171,             0.00076171
                     11,                 3.1687,                 4.7995,                 2.4586,                      0,                      0,                      0,                      0,                 6.8067,                 5.8492,                 4.5745,              0.0008127,              0.0008127,              0.0008127
                     12,                 3.4619,                 4.8585,                 2.3143,                      0,                      0,                      0,                      0,                  6.821,                 5.7221,                 4.6336,             0.00085875,             0.00085875,             0.00085875
                     13,                 2.8451,                 5.1671,                  2.153,                      0,                      0,                      0,                      0,                 6.8231,                 5.6548,                 4.6405,             0.00089984,             0.00089984,             0.00089984
                     14,                 2.9727,                 5.0284,                  2.133,                      0,                      0,                      0,                      0,                 6.8279,                 5.6102,                 4.6593,             0.00093599,             0.00093599,             0.00093599
                     15,                 3.0396,                 4.5688,                 2.1892,                      0,                      0,                      0,                      0,                 6.8342,                 5.8552,                 4.6896,             0.00096718,             0.00096718,             0.00096718
                     16,                  2.694,                 4.5964,                 2.0329,                      0,                      0,                      0,                      0,                 6.8328,                 5.8376,                 4.6836,             0.00099343,             0.00099343,             0.00099343
                     17,                 2.6761,                 4.3503,                 2.1155,                      0,                      0,                      0,                      0,                 6.8287,                 5.6752,                 4.6692,              0.0010147,              0.0010147,              0.0010147
                     18,                 2.6196,                 4.1283,                 1.8911,                      0,                      0,                      0,                      0,                 6.8168,                 5.5995,                 4.6181,              0.0010311,              0.0010311,              0.0010311
                     19,                 2.3654,                 3.9159,                 1.8951,                      0,                      0,                      0,                      0,                 6.8015,                 5.5273,                 4.5558,              0.0010425,              0.0010425,              0.0010425
                     20,                 2.5479,                 4.0694,                 1.9559,                      0,                      0,                      0,                      0,                 6.7748,                 5.4653,                 4.4529,              0.0010489,              0.0010489,              0.0010489
                     21,                 2.4842,                 3.8755,                 1.8863,                      0,                      0,                      0,                      0,                 6.7754,                  5.488,                 4.4569,                0.00101,                0.00101,                0.00101
                     22,                 2.1954,                 3.5966,                 1.7945,                      0,                      0,                      0,                      0,                 6.7672,                 5.4898,                 4.4249,                0.00101,                0.00101,                0.00101
                     23,                 2.3622,                 3.6938,                 1.8562,                      0,                      0,                      0,                      0,                  6.751,                 5.4378,                 4.3644,              0.0009605,              0.0009605,              0.0009605
                     24,                 2.1736,                  3.514,                 1.7143,                      0,                      0,                      0,                      0,                 6.6859,                 5.2648,                 4.1677,               0.000911,               0.000911,               0.000911
                     25,                 2.2964,                 3.3799,                  1.857,                      0,                      0,                      0,                      0,                 6.6107,                 5.0526,                  3.984,              0.0008615,              0.0008615,              0.0008615
                     26,                 2.2464,                 3.5336,                 1.8029,                      0,                      0,                      0,                      0,                 6.4783,                 4.9105,                 3.7669,               0.000812,               0.000812,               0.000812
                     27,                  2.211,                 3.2881,                 1.7395,                      0,                      0,                      0,                      0,                 6.2423,                  4.775,                 3.4799,              0.0007625,              0.0007625,              0.0007625
                     28,                 2.1519,                 3.2366,                 1.6894,                0.00177,                0.15789,                0.00204,                0.00062,                 4.8954,                 4.3049,                 2.6677,               0.000713,               0.000713,               0.000713
                     29,                 2.1406,                 3.1557,                 1.6649,                0.31811,                0.05263,                0.05747,                0.01567,                 4.0774,                 3.8794,                 2.3547,              0.0006635,              0.0006635,              0.0006635
                     30,                 2.0196,                 3.0042,                 1.6071,                  0.693,                0.05263,                0.16708,                0.04309,                 3.5348,                 3.5409,                 2.1606,               0.000614,               0.000614,               0.000614
                     31,                 2.2193,                 4.3927,                 1.6956,                      1,                0.09189,                0.24207,                0.05873,                  3.277,                    3.4,                  2.058,              0.0005645,              0.0005645,              0.0005645
                     32,                 2.1179,                 3.9599,                 1.7809,                0.77095,                0.17995,                0.38901,                0.05222,                 3.5256,                 3.1175,                 2.1003,               0.000515,               0.000515,               0.000515
                     33,                  1.985,                 3.8077,                 1.5631,                0.71807,                0.26316,                0.28962,                0.03566,                 3.6208,                 2.8132,                 2.1646,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.8684,                 3.7102,                 1.5299,                0.65129,                0.31579,                0.35237,                0.04811,                 3.5652,                 2.6108,                 2.1713,               0.000416,               0.000416,               0.000416
                     35,                 1.9873,                 3.5994,                 1.5543,                0.75892,                0.49811,                0.50179,                0.08772,                 3.3026,                 2.4239,                 2.0733,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.9676,                 3.8685,                 1.6527,                0.63426,                 0.5484,                0.61869,                0.17224,                 2.8645,                 2.1602,                 1.9091,               0.000317,               0.000317,               0.000317
                     37,                 1.9002,                 3.2752,                 1.5788,                 0.6549,                0.73684,                0.62648,                0.17923,                 2.7448,                 2.1177,                 1.8536,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.9897,                 3.6177,                  1.607,                0.62143,                0.73684,                0.64004,                0.20243,                 2.6483,                 2.0935,                 1.8119,               0.000218,               0.000218,               0.000218
                     39,                 1.8023,                 3.2486,                 1.5232,                0.70724,                0.63595,                0.64656,                0.22183,                 2.5598,                 2.0828,                 1.7786,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.7577,                 3.3261,                 1.5155,                0.75575,                0.84211,                0.78085,                0.28804,                  2.316,                 2.0161,                  1.686,               0.000119,               0.000119,               0.000119
