                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.566,                 1.6365,                 1.8438,                 0.8545,                 0.7243,                 0.8315,                0.55571,                 1.2458,                 1.1421,                 1.5961,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.5351,                 1.5771,                 1.8148,                0.85668,                0.81005,                0.85443,                0.56004,                 1.3266,                 1.6587,                  1.631,              0.0011657,              0.0011657,              0.0011657
                      3,                 1.5817,                 1.6016,                 1.8572,                0.86177,                 0.7243,                 0.7968,                0.48396,                 1.5041,                 1.5871,                 1.7925,              0.0015027,              0.0015027,              0.0015027
                      4,                 1.5885,                 1.5694,                 1.8839,                0.89461,                0.75364,                0.84658,                0.53499,                 1.3674,                 1.3651,                 1.7051,              0.0012575,              0.0012575,              0.0012575
                      5,                 1.5601,                 1.5103,                 1.8351,                0.84385,                 0.7757,                0.83737,                0.55123,                 1.3517,                 1.9545,                 1.6462,              0.0012575,              0.0012575,              0.0012575
                      6,                 1.5323,                 1.4155,                  1.827,                0.81104,                0.76215,                0.80983,                0.51272,                 1.3706,                 2.3358,                 1.7145,                0.00101,                0.00101,                0.00101
                      7,                 1.4352,                 1.3718,                  1.748,                0.87062,                0.84112,                0.87684,                0.57619,                 1.2816,                 1.2707,                 1.5806,              0.0007625,              0.0007625,              0.0007625
                      8,                 1.4126,                 1.3096,                 1.7129,                0.92039,                0.83645,                0.89144,                0.61108,                 1.1962,                  1.061,                 1.5157,               0.000515,               0.000515,               0.000515
