                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9343,                 1.0689,                 1.2514,                0.75329,                0.68263,                0.72019,                0.50279,                 1.0435,                0.96056,                 1.3771,             0.00049529,             0.00049529,             0.00049529
                     35,                0.94688,                 1.0993,                 1.2643,                0.75708,                0.67613,                0.71454,                0.50484,                 1.0555,                0.95547,                 1.3883,               0.000467,               0.000467,               0.000467
                     36,                0.91272,                 1.0597,                 1.2532,                0.77958,                0.66947,                0.72954,                0.52212,                 1.0378,                0.95038,                 1.3739,              0.0004387,              0.0004387,              0.0004387
                     37,                0.92168,                 1.0263,                 1.2434,                 0.7601,                0.69592,                0.72985,                0.51756,                 1.0217,                0.92656,                  1.373,             0.00041041,             0.00041041,             0.00041041
                     38,                0.89898,                 1.0231,                 1.2333,                0.77681,                  0.682,                0.73412,                0.51865,                 1.0254,                0.93925,                 1.3762,             0.00038211,             0.00038211,             0.00038211
                     39,                0.90453,                  1.042,                 1.2423,                 0.8178,                0.67905,                0.74406,                0.52517,                 1.0502,                0.93764,                  1.381,             0.00035382,             0.00035382,             0.00035382
                     40,                0.87199,                 0.9718,                 1.2202,                0.78023,                0.69342,                0.74115,                0.52446,                 1.0235,                0.89151,                 1.3636,             0.00032553,             0.00032553,             0.00032553
                     41,                0.89939,                0.89472,                 1.3152,                0.77714,                0.68389,                0.74032,                0.52308,                 1.0333,                0.92165,                 1.3736,             0.00029723,             0.00029723,             0.00029723
                     42,                0.86651,                0.88181,                 1.2926,                0.79315,                0.69396,                0.75098,                0.53935,                 1.0016,                0.89272,                 1.3504,             0.00026894,             0.00026894,             0.00026894
                     43,                0.87361,                0.86895,                 1.2871,                0.77662,                0.71165,                0.75169,                0.53416,                 1.0057,                0.89681,                 1.3513,             0.00024064,             0.00024064,             0.00024064
                     44,                0.84624,                0.84113,                 1.2668,                0.79105,                0.70947,                0.75864,                0.54178,                0.99788,                0.87334,                  1.349,             0.00021235,             0.00021235,             0.00021235
                     45,                0.83488,                0.82659,                 1.2647,                 0.8055,                0.69048,                0.74967,                0.54105,                 1.0004,                0.89333,                 1.3413,             0.00018406,             0.00018406,             0.00018406
                     46,                0.82075,                0.81084,                 1.2542,                 0.8263,                0.69735,                0.75977,                0.54757,                0.99228,                0.88906,                  1.342,             0.00015576,             0.00015576,             0.00015576
                     47,                  0.823,                0.79929,                 1.2534,                0.79719,                0.71684,                0.76134,                0.54915,                0.98141,                0.88471,                 1.3287,             0.00012747,             0.00012747,             0.00012747
                     48,                0.80063,                0.78374,                 1.2419,                0.83258,                0.69159,                 0.7642,                0.55211,                 0.9703,                0.87005,                 1.3233,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.79681,                0.77932,                 1.2282,                0.81305,                0.70935,                 0.7635,                0.55467,                0.96549,                0.85501,                 1.3192,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.78142,                0.77289,                 1.2323,                0.81256,                0.71048,                0.77035,                0.55491,                0.96398,                0.85037,                 1.3195,             4.2584e-05,             4.2584e-05,             4.2584e-05
