                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.566,                 1.6365,                 1.8438,                 0.8545,                 0.7243,                 0.8315,                0.55571,                 1.2458,                 1.1421,                 1.5961,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.5511,                 1.5958,                 1.8197,                0.85658,                0.80938,                0.85702,                  0.554,                  1.353,                 1.3868,                 1.6483,              0.0012425,              0.0012425,              0.0012425
                      3,                 1.6119,                 1.6834,                  1.887,                0.86913,                0.62617,                0.75892,                0.47107,                 1.4856,                 1.5851,                 1.7974,              0.0017334,              0.0017334,              0.0017334
                      4,                 1.6571,                 1.6265,                  1.927,                 0.8511,                0.65888,                0.77222,                0.47079,                 1.4593,                 1.5374,                 1.8036,               0.001604,               0.001604,               0.001604
                      5,                 1.6106,                  1.546,                 1.8597,                0.90298,                0.73932,                0.83134,                0.53891,                 1.3807,                 1.6932,                 1.6497,               0.001604,               0.001604,               0.001604
                      6,                    1.4,                 1.2437,                 1.7736,                0.89915,                0.75701,                0.83398,                0.51337,                 1.3696,                 1.2898,                 1.6592,               0.001472,               0.001472,               0.001472
                      7,                 1.3561,                 1.1408,                 1.7108,                0.88798,                0.81308,                0.86434,                0.56038,                 1.3274,                 1.3249,                 1.6089,                0.00134,                0.00134,                0.00134
                      8,                 1.3166,                 1.0771,                 1.6965,                0.84198,                0.81776,                0.85222,                0.57735,                 1.2736,                 1.0957,                 1.5797,               0.001208,               0.001208,               0.001208
                      9,                 1.3523,                 1.0792,                 1.7251,                0.85215,                0.83492,                0.87918,                 0.5701,                 1.3334,                 1.2351,                 1.6492,               0.001076,               0.001076,               0.001076
                     10,                 1.2755,                 1.0196,                 1.6485,                0.89685,                0.77194,                0.85479,                0.52976,                 1.5369,                 1.3039,                 1.7667,               0.000944,               0.000944,               0.000944
                     11,                  1.287,                0.99722,                  1.632,                0.92755,                0.84579,                0.89571,                0.61344,                 1.2422,                0.93333,                 1.5495,               0.000812,               0.000812,               0.000812
                     12,                 1.2358,                0.96534,                  1.601,                0.92103,                0.87196,                0.90299,                0.62795,                 1.2199,                0.99785,                 1.5001,                0.00068,                0.00068,                0.00068
                     13,                 1.1733,                 0.8853,                 1.5389,                0.91563,                0.86212,                0.89542,                0.63059,                 1.1562,                0.95724,                 1.4703,               0.000548,               0.000548,               0.000548
                     14,                 1.1626,                0.81568,                 1.5376,                 0.9264,                0.85981,                0.90707,                 0.6469,                 1.1605,                 0.9499,                 1.4675,               0.000416,               0.000416,               0.000416
                     15,                 1.1109,                0.81505,                 1.5056,                0.93471,                0.86449,                 0.9143,                0.66018,                 1.1449,                0.87365,                 1.4504,               0.000284,               0.000284,               0.000284
